catalog,number,species,location,sex,coords.1.X,coords.1.Y,coords.2.X,coords.2.Y,coords.3.X,coords.3.Y,coords.4.X,coords.4.Y,coords.5.X,coords.5.Y,coords.6.X,coords.6.Y,coords.7.X,coords.7.Y,coords.8.X,coords.8.Y,coords.9.X,coords.9.Y,Csize
UCSB,IZC00030121,farinosus,island,female,0.315453508,-0.251280061,0.384449603,-0.103059583,0.136570905,0.109035681,0.111013464,0.193365015,-0.190519529,0.275133884,-0.33615919,0.405447696,-0.116414461,-0.108179015,-0.162419717,-0.21806825,-0.141974581,-0.302395366,3.083635964
UCSB,IZC00034799,farinosus,island,female,0.325156961,-0.246416712,0.39135526,-0.082776838,0.142471595,0.109834458,0.102504274,0.205804854,-0.192226343,0.280077956,-0.300252762,0.383885421,-0.128186742,-0.11100779,-0.186642067,-0.229292553,-0.154180175,-0.310108794,3.173014916
UCSB,IZC00030122,farinosus,island,female,0.326769071,-0.248958618,0.390400171,-0.08597722,0.130495006,0.125143213,0.101691022,0.203455648,-0.182937321,0.273909821,-0.299908384,0.386469751,-0.126432096,-0.104491386,-0.180646835,-0.230225661,-0.159430635,-0.319325548,3.00875706
UCSB,IZC00034847,farinosus,island,female,0.318055602,-0.249091308,0.389681628,-0.094482359,0.138217405,0.113647766,0.108712494,0.19755349,-0.196941856,0.279489938,-0.316429269,0.392607858,-0.116391635,-0.110448315,-0.173348876,-0.223901125,-0.151555492,-0.305375945,3.128660127
UCSB,IZC00030348,farinosus,island,female,0.312608588,-0.252082515,0.388449211,-0.093527735,0.127002542,0.121537416,0.100461994,0.207399824,-0.189939466,0.280971715,-0.306316823,0.394650758,-0.105469704,-0.108516744,-0.172879188,-0.236244104,-0.153917153,-0.314188615,3.096881602
UCSB,IZC00012025,ligatus,island,female,0.314696688,-0.264692692,0.349829909,-0.086583161,0.124800728,0.132858585,0.102669298,0.212269091,-0.191257975,0.284962762,-0.317861014,0.404684172,-0.103258745,-0.109099441,-0.15226974,-0.244655797,-0.127349149,-0.329743518,2.054828417
UCSB,IZC00012309,ligatus,island,male,0.324369598,-0.262414131,0.329120073,-0.070160909,0.121266399,0.13503526,0.084947491,0.228944538,-0.165971544,0.292715358,-0.297317755,0.404799403,-0.10602645,-0.116248538,-0.157477687,-0.266420872,-0.132910125,-0.34625011,2.030402857
UCSB,IZC00012355,ligatus,island,male,0.327078228,-0.251520017,0.34490472,-0.067139175,0.129001193,0.129788521,0.09247641,0.220592126,-0.164732026,0.285010486,-0.305150982,0.396392335,-0.10941896,-0.112154407,-0.171442237,-0.257670106,-0.142716346,-0.343299763,2.227401166
UCSB,IZC00012434,ligatus,island,male,0.322718677,-0.258576308,0.345140778,-0.079634076,0.132696096,0.12733891,0.099168527,0.214027174,-0.186012883,0.284012608,-0.314597543,0.404281138,-0.107839937,-0.115850668,-0.158207464,-0.247252093,-0.133066251,-0.328346686,2.067531486
UCSB,IZC00001300,ligatus,mainland,female,0.334509477,-0.255307473,0.365949707,-0.088434587,0.123526954,0.125130369,0.099583295,0.206542469,-0.192285033,0.285136964,-0.313501033,0.391923138,-0.119903641,-0.112927255,-0.157289265,-0.230293227,-0.14059046,-0.321770398,2.34434566
